epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21750.9,0.99665,0.49334,0.92536,0.96737,0.98988,0.98851,0.74053,0.92815,0.44037,0.9151,0.000643101,0.000643101,0.000643101
43,21858.2,0.99842,0.48817,0.92903,0.97377,0.99015,0.9884,0.74336,0.92706,0.43257,0.91462,0.000628101,0.000628101,0.000628101
44,21964.7,0.99821,0.49047,0.92102,0.97541,0.98999,0.98805,0.73422,0.95631,0.44139,0.92424,0.000612981,0.000612981,0.000612981
45,22070.4,0.9977,0.48705,0.93528,0.97376,0.98999,0.98797,0.74139,0.91908,0.43261,0.90997,0.000597754,0.000597754,0.000597754
46,22178,0.99225,0.48422,0.92902,0.97512,0.98883,0.9894,0.74604,0.91394,0.42324,0.90857,0.000582435,0.000582435,0.000582435
47,22287.1,0.98408,0.4799,0.92124,0.97477,0.98682,0.98887,0.75125,0.91487,0.42301,0.90873,0.00056704,0.00056704,0.00056704
48,22394.8,0.97131,0.47411,0.91836,0.9725,0.98799,0.98928,0.74993,0.92771,0.42972,0.91294,0.000551584,0.000551584,0.000551584
49,22502,0.97538,0.47857,0.92046,0.97595,0.98822,0.98933,0.74439,0.92333,0.43116,0.91109,0.000536081,0.000536081,0.000536081
50,22609.1,0.98318,0.47719,0.92345,0.97477,0.98959,0.98822,0.74486,0.9132,0.42625,0.90904,0.000520548,0.000520548,0.000520548
51,22715.4,0.98033,0.47638,0.92766,0.97256,0.99024,0.98803,0.74563,0.90881,0.42872,0.90983,0.000505,0.000505,0.000505
52,22822.7,0.98002,0.47252,0.92549,0.97314,0.98908,0.98853,0.74755,0.8954,0.42136,0.90473,0.000489452,0.000489452,0.000489452
53,22928,0.97935,0.47149,0.92813,0.97467,0.98995,0.98859,0.74967,0.90244,0.41486,0.90693,0.000473919,0.000473919,0.000473919
54,23034.7,0.96631,0.46149,0.9193,0.9721,0.99283,0.98906,0.76334,0.88011,0.40528,0.89978,0.000458416,0.000458416,0.000458416
55,23140.7,0.95094,0.45905,0.92155,0.97467,0.98973,0.98957,0.75622,0.88703,0.40843,0.90143,0.00044296,0.00044296,0.00044296
