epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4654.5,1.06119,0.62713,1.0572,0.96483,0.97738,0.98515,0.71231,0.98964,0.56932,1.09004,0.000643101,0.000643101,0.000643101
43,4764.63,1.06361,0.62263,1.06809,0.96281,0.97982,0.9852,0.71047,0.99402,0.56677,1.08902,0.000628101,0.000628101,0.000628101
44,4874.25,1.05775,0.62318,1.04596,0.96392,0.98009,0.98514,0.7135,0.98854,0.56225,1.08957,0.000612981,0.000612981,0.000612981
45,4983.48,1.05911,0.63122,1.0884,0.96371,0.97985,0.98522,0.70479,1.01872,0.57404,1.0983,0.000597754,0.000597754,0.000597754
46,5092.86,1.05559,0.62798,1.06507,0.96481,0.98008,0.98558,0.71558,0.98198,0.56075,1.08395,0.000582435,0.000582435,0.000582435
47,5201.87,1.05942,0.62561,1.06595,0.96484,0.98081,0.98593,0.71574,0.98421,0.55508,1.08525,0.00056704,0.00056704,0.00056704
48,5310.17,1.0493,0.60679,1.05606,0.96422,0.97913,0.98597,0.71504,0.98659,0.55476,1.08506,0.000551584,0.000551584,0.000551584
49,5419.56,1.0513,0.6131,1.05583,0.96376,0.98133,0.98595,0.71659,0.98276,0.55066,1.085,0.000536081,0.000536081,0.000536081
50,5529.03,1.05659,0.61006,1.06894,0.96313,0.98208,0.98568,0.71513,0.98026,0.55384,1.08277,0.000520548,0.000520548,0.000520548
51,5637.8,1.04856,0.61545,1.06824,0.96319,0.9825,0.98561,0.71385,0.9874,0.55752,1.08656,0.000505,0.000505,0.000505
52,5746.01,1.05541,0.61175,1.06222,0.96344,0.98339,0.9856,0.71586,0.97826,0.54942,1.08107,0.000489452,0.000489452,0.000489452
53,5854.17,1.05481,0.6153,1.08057,0.96289,0.98292,0.98569,0.71781,0.97768,0.54734,1.0803,0.000473919,0.000473919,0.000473919
54,5962.18,1.05161,0.60064,1.05747,0.96488,0.98155,0.98573,0.71432,0.98517,0.54413,1.0829,0.000458416,0.000458416,0.000458416
55,6071.6,1.04039,0.60374,1.06672,0.96577,0.98147,0.98575,0.71679,0.97654,0.54467,1.0793,0.00044296,0.00044296,0.00044296
56,6181.09,1.04703,0.61173,1.0753,0.96542,0.98288,0.98604,0.71885,0.97033,0.54156,1.07604,0.000427565,0.000427565,0.000427565
57,6290.74,1.0462,0.60005,1.05667,0.96619,0.98198,0.98605,0.71893,0.96941,0.54154,1.07523,0.000412246,0.000412246,0.000412246
58,6400.24,1.05499,0.61422,1.07714,0.96744,0.98166,0.9861,0.71957,0.96968,0.54393,1.07559,0.000397019,0.000397019,0.000397019
59,6508.27,1.04301,0.60402,1.05887,0.96603,0.98333,0.98635,0.72195,0.96594,0.54082,1.0731,0.000381899,0.000381899,0.000381899
