epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.291,1.38326,1.58956,1.14255,0.09255,0.81077,0.27242,0.0885,2.3624,2.55644,1.68654,0.0903829,9.71429e-05,9.71429e-05
2,217.778,1.27774,0.97619,1.0432,0.10977,0.95625,0.87768,0.52124,1.37009,2.19949,1.06237,0.0804828,0.000197095,0.000197095
3,324.829,1.2559,0.87255,1.03369,0.90164,0.91103,0.95112,0.61984,1.21217,1.25622,0.97868,0.0705826,0.000296853,0.000296853
4,430.266,1.20472,0.78842,0.99678,0.91005,0.93822,0.96328,0.62401,1.16946,0.75196,0.97733,0.060682,0.00039627,0.00039627
5,536.637,1.16205,0.7287,0.98651,0.91042,0.95889,0.96223,0.63059,1.15532,0.71638,0.99585,0.0507809,0.000495202,0.000495202
6,649.803,1.1662,0.71038,0.99105,0.93067,0.97217,0.97431,0.62938,1.1917,0.67547,1.0012,0.0408792,0.000593504,0.000593504
7,760.307,1.16193,0.68729,0.97902,0.932,0.97027,0.97557,0.65912,1.10879,0.62955,0.97109,0.0309767,0.00069103,0.00069103
8,869.9,1.13448,0.66963,0.9775,0.9369,0.97618,0.97776,0.6792,1.06992,0.61339,0.95956,0.0210734,0.00078764,0.00078764
9,977.744,1.12677,0.6448,0.97037,0.9414,0.97312,0.97743,0.6779,1.0641,0.60442,0.95597,0.0111689,0.000883191,0.000883191
10,1089.04,1.13512,0.64924,0.97313,0.93635,0.9688,0.97734,0.64211,1.18607,0.62485,1.01668,0.00126326,0.000977544,0.000977544
11,1199.76,1.13694,0.62834,0.97094,0.95535,0.97849,0.98276,0.69537,1.04726,0.56175,0.95716,0.000975773,0.000975773,0.000975773
12,1307.33,1.13102,0.63596,0.97377,0.95217,0.97365,0.98435,0.6967,1.04831,0.55868,0.94845,0.000970736,0.000970736,0.000970736
13,1416.32,1.11383,0.61048,0.95912,0.96141,0.977,0.98407,0.69333,1.04915,0.54241,0.95159,0.000965239,0.000965239,0.000965239
14,1524.86,1.09182,0.60135,0.96284,0.95487,0.98419,0.98223,0.70103,1.02245,0.55015,0.95024,0.000959289,0.000959289,0.000959289
15,1634.49,1.07349,0.59101,0.96409,0.96105,0.98018,0.98418,0.70573,1.00815,0.53345,0.94265,0.000952889,0.000952889,0.000952889
16,1742.1,1.0758,0.5757,0.95487,0.96376,0.98392,0.98547,0.70761,1.00901,0.52406,0.93837,0.000946048,0.000946048,0.000946048
17,1848.03,1.07313,0.57855,0.94519,0.95752,0.98303,0.98262,0.69858,1.02478,0.52913,0.9434,0.000938772,0.000938772,0.000938772
18,1953.78,1.06739,0.57193,0.95263,0.95917,0.98558,0.98214,0.70465,1.00422,0.52117,0.93959,0.000931067,0.000931067,0.000931067
19,2061.29,1.08156,0.57254,0.95108,0.96568,0.98487,0.98513,0.71186,0.98675,0.50223,0.93107,0.000922942,0.000922942,0.000922942
20,2167.84,1.04812,0.55034,0.94973,0.96382,0.98471,0.98438,0.71237,0.98853,0.49451,0.93309,0.000914405,0.000914405,0.000914405
21,2274.47,1.06652,0.55154,0.94404,0.96387,0.98422,0.98591,0.70997,1.00939,0.50909,0.93264,0.000905463,0.000905463,0.000905463
22,2381.31,1.05221,0.55172,0.94225,0.96928,0.98482,0.98522,0.71327,0.98864,0.49472,0.9314,0.000896127,0.000896127,0.000896127
23,2486.82,1.04449,0.54283,0.93677,0.96836,0.9874,0.98488,0.71931,0.96376,0.48554,0.92777,0.000886404,0.000886404,0.000886404
24,2592.88,1.03414,0.54057,0.93373,0.96664,0.98503,0.98378,0.71572,0.96587,0.49222,0.9277,0.000876305,0.000876305,0.000876305
25,2698.76,1.02321,0.5351,0.93925,0.96817,0.98769,0.98576,0.7176,0.98477,0.4801,0.92802,0.000865839,0.000865839,0.000865839
26,2804.4,1.02915,0.53635,0.93275,0.96846,0.98619,0.98594,0.71014,0.99741,0.49379,0.92818,0.000855018,0.000855018,0.000855018
27,2910.41,1.04933,0.53238,0.94268,0.97002,0.98756,0.98664,0.73325,0.9581,0.47182,0.92307,0.000843851,0.000843851,0.000843851
28,3016.26,1.0391,0.52673,0.93802,0.97217,0.98851,0.98572,0.73053,0.9515,0.46683,0.9214,0.000832349,0.000832349,0.000832349
29,3121.47,1.02735,0.51957,0.93647,0.97293,0.98871,0.98633,0.72909,0.95176,0.47034,0.92029,0.000820525,0.000820525,0.000820525
30,3226.93,1.0316,0.51778,0.9342,0.96998,0.98777,0.98643,0.72341,0.97247,0.4721,0.92372,0.000808389,0.000808389,0.000808389
31,3333.02,1.02186,0.51648,0.94018,0.97195,0.98577,0.98727,0.72825,0.9648,0.45994,0.9249,0.000795954,0.000795954,0.000795954
32,3438.83,1.02219,0.51328,0.93622,0.97377,0.98608,0.9877,0.73036,0.97095,0.45275,0.92331,0.000783231,0.000783231,0.000783231
33,3544.18,1.0244,0.50622,0.93676,0.97159,0.98861,0.98849,0.73674,0.94833,0.45558,0.91657,0.000770234,0.000770234,0.000770234
34,3649.4,1.01922,0.51137,0.93423,0.97062,0.98554,0.98803,0.71504,1.01251,0.47356,0.93374,0.000756976,0.000756976,0.000756976
35,3754.56,1.03004,0.50605,0.93375,0.97185,0.98632,0.98652,0.73114,0.94921,0.45788,0.91908,0.000743468,0.000743468,0.000743468
36,3859.02,0.9934,0.49525,0.93358,0.97338,0.99114,0.98822,0.7389,0.92668,0.43933,0.91178,0.000729725,0.000729725,0.000729725
37,3964.34,1.00244,0.49711,0.92913,0.97222,0.98506,0.98807,0.73367,0.94705,0.45473,0.9175,0.000715761,0.000715761,0.000715761
38,4069.57,0.99874,0.50058,0.92497,0.97162,0.98895,0.98751,0.73762,0.93375,0.44735,0.91655,0.000701588,0.000701588,0.000701588
39,4176.19,0.99105,0.48955,0.92639,0.97201,0.99209,0.9874,0.73391,0.93909,0.44162,0.9184,0.000687222,0.000687222,0.000687222
40,4281.38,0.98837,0.48636,0.92865,0.97305,0.98999,0.98797,0.73581,0.92725,0.44068,0.91393,0.000672675,0.000672675,0.000672675
41,4384.87,1.00511,0.48629,0.93469,0.97113,0.98939,0.98852,0.73635,0.94109,0.44333,0.91771,0.000657963,0.000657963,0.000657963
42,4489.69,0.99656,0.49075,0.92521,0.97043,0.98946,0.98848,0.74836,0.9111,0.4346,0.90827,0.000643101,0.000643101,0.000643101
43,4595.48,0.99934,0.48997,0.92926,0.97596,0.99041,0.98893,0.74612,0.92046,0.43078,0.91156,0.000628101,0.000628101,0.000628101
44,4704.36,0.99549,0.48943,0.92047,0.97481,0.99151,0.98853,0.74129,0.93609,0.43316,0.91544,0.000612981,0.000612981,0.000612981
45,4809.97,0.98777,0.48382,0.93275,0.97438,0.99209,0.9882,0.74812,0.90453,0.42337,0.90754,0.000597754,0.000597754,0.000597754
46,4915.98,0.98197,0.48019,0.92655,0.97579,0.99178,0.98952,0.7502,0.90631,0.41612,0.90565,0.000582435,0.000582435,0.000582435
47,5022.04,0.98372,0.47913,0.92038,0.97504,0.9903,0.98989,0.7464,0.93019,0.42198,0.91243,0.00056704,0.00056704,0.00056704
48,5127.96,0.9738,0.47277,0.91818,0.97577,0.98922,0.98978,0.75292,0.90865,0.42092,0.90693,0.000551584,0.000551584,0.000551584
49,5235.48,0.96894,0.47212,0.91859,0.97781,0.98938,0.9896,0.748,0.90974,0.41566,0.90667,0.000536081,0.000536081,0.000536081
50,5342.24,0.97506,0.47046,0.92075,0.97605,0.99237,0.98904,0.74994,0.89802,0.41871,0.90413,0.000520548,0.000520548,0.000520548
51,5450.93,0.97164,0.46958,0.92542,0.97474,0.9902,0.9886,0.73982,0.93133,0.42796,0.91953,0.000505,0.000505,0.000505
52,5558.11,0.97237,0.46509,0.92264,0.97344,0.99072,0.98894,0.75001,0.88658,0.41504,0.90167,0.000489452,0.000489452,0.000489452
53,5665.59,0.97333,0.46866,0.92738,0.97588,0.99051,0.98937,0.75194,0.89108,0.41201,0.90398,0.000473919,0.000473919,0.000473919
54,5773.3,0.97238,0.46236,0.92046,0.97684,0.99166,0.98911,0.7612,0.8868,0.40307,0.90293,0.000458416,0.000458416,0.000458416
55,5881.35,0.95824,0.46009,0.92302,0.97689,0.99051,0.98985,0.7524,0.89115,0.4105,0.90143,0.00044296,0.00044296,0.00044296
56,5989.54,0.97359,0.47012,0.92499,0.97833,0.99104,0.99005,0.7496,0.91538,0.4112,0.90666,0.000427565,0.000427565,0.000427565
57,6096.96,0.96965,0.46112,0.91475,0.97862,0.99262,0.98941,0.75941,0.88944,0.40388,0.90388,0.000412246,0.000412246,0.000412246
58,6203.42,0.97004,0.46503,0.92714,0.97794,0.99336,0.98959,0.76084,0.88092,0.402,0.89787,0.000397019,0.000397019,0.000397019
59,6308.19,0.95161,0.45335,0.91542,0.97936,0.99125,0.98974,0.76222,0.87724,0.40152,0.90013,0.000381899,0.000381899,0.000381899
60,6414.37,0.94346,0.44922,0.91612,0.97877,0.99136,0.98911,0.76175,0.87187,0.39304,0.89662,0.000366899,0.000366899,0.000366899
61,6519.14,0.93655,0.44356,0.91202,0.97733,0.99095,0.98922,0.75675,0.89054,0.39662,0.90572,0.000352037,0.000352037,0.000352037
62,6624.33,0.94212,0.4519,0.91265,0.97908,0.99146,0.98977,0.76188,0.86808,0.39326,0.8945,0.000337325,0.000337325,0.000337325
63,6730.73,0.93276,0.44916,0.9095,0.98039,0.99136,0.98974,0.7626,0.87651,0.39735,0.89903,0.000322778,0.000322778,0.000322778
64,6836.82,0.94601,0.45098,0.91307,0.98074,0.99188,0.98982,0.76517,0.86082,0.39257,0.89225,0.000308412,0.000308412,0.000308412
65,6946.03,0.93284,0.44208,0.90845,0.97961,0.99274,0.98904,0.76422,0.87373,0.39164,0.89962,0.000294239,0.000294239,0.000294239
66,7056.53,0.94081,0.45272,0.91419,0.98022,0.99234,0.98974,0.76811,0.85831,0.386,0.89354,0.000280275,0.000280275,0.000280275
67,7165.95,0.93414,0.43899,0.91333,0.98162,0.99125,0.99012,0.76523,0.85719,0.38717,0.89426,0.000266532,0.000266532,0.000266532
68,7275.5,0.9328,0.43952,0.91139,0.98073,0.99254,0.99055,0.76762,0.85246,0.38416,0.8928,0.000253024,0.000253024,0.000253024
69,7383.61,0.92834,0.43753,0.91065,0.98002,0.99264,0.99025,0.76503,0.86871,0.38469,0.8962,0.000239766,0.000239766,0.000239766
70,7491.35,0.91649,0.43642,0.91234,0.97922,0.99362,0.99014,0.77022,0.86169,0.38419,0.89321,0.000226769,0.000226769,0.000226769
71,7601.21,0.91712,0.4333,0.90106,0.98042,0.9926,0.99007,0.77476,0.84965,0.38476,0.88994,0.000214046,0.000214046,0.000214046
72,7711.22,0.93125,0.43942,0.90963,0.98056,0.99241,0.99014,0.77425,0.84751,0.38043,0.88881,0.000201611,0.000201611,0.000201611
73,7820.63,0.9188,0.4325,0.90288,0.98104,0.99299,0.99013,0.77547,0.83682,0.37724,0.88735,0.000189475,0.000189475,0.000189475
74,7928.49,0.93023,0.43261,0.90502,0.9827,0.99283,0.99032,0.77531,0.83844,0.3741,0.88773,0.000177651,0.000177651,0.000177651
75,8034.26,0.9187,0.43396,0.91135,0.98203,0.99367,0.99055,0.7738,0.84522,0.37664,0.88925,0.000166149,0.000166149,0.000166149
76,8141.05,0.91286,0.43312,0.90078,0.98128,0.99493,0.9902,0.77574,0.8354,0.37457,0.88613,0.000154982,0.000154982,0.000154982
77,8249.22,0.91999,0.43119,0.90826,0.98222,0.99199,0.99045,0.77499,0.84623,0.37396,0.88948,0.000144161,0.000144161,0.000144161
78,8354.02,0.91504,0.42923,0.90905,0.98126,0.99356,0.9907,0.7766,0.83036,0.36987,0.88577,0.000133695,0.000133695,0.000133695
79,8461.13,0.90676,0.42265,0.90298,0.98289,0.99291,0.99075,0.77382,0.84224,0.37073,0.88806,0.000123596,0.000123596,0.000123596
80,8568.12,0.90813,0.42724,0.90593,0.98241,0.99346,0.99051,0.77737,0.82873,0.3689,0.88564,0.000113873,0.000113873,0.000113873
81,8675.06,0.91228,0.42924,0.90298,0.98301,0.99252,0.99049,0.77825,0.83238,0.36741,0.88625,0.000104537,0.000104537,0.000104537
82,8781.98,0.90685,0.42687,0.89718,0.98361,0.99324,0.9907,0.77724,0.83034,0.36658,0.88501,9.55951e-05,9.55951e-05,9.55951e-05
83,8888.46,0.91235,0.42729,0.90575,0.98259,0.9937,0.99079,0.78092,0.82026,0.36511,0.88341,8.70577e-05,8.70577e-05,8.70577e-05
84,8994.05,0.9054,0.42232,0.907,0.98261,0.99482,0.99086,0.78137,0.82389,0.36621,0.88403,7.89327e-05,7.89327e-05,7.89327e-05
85,9099.88,0.89344,0.41868,0.90023,0.9822,0.99494,0.99095,0.78162,0.82302,0.36608,0.88372,7.12282e-05,7.12282e-05,7.12282e-05
